id,_memo,name,description,type,effect_type,effect_value,use_time,use_sound,max_stack,price,weight,icon,prefab
635,펄스 에너지 셀,item.635.name,item.635.desc,Bullet,,0,0,,60,80,1,Icons/ammo_final,
700,테스트용 가방,item.700.name,item.700.desc,Bag,,10,0,,1,1000,1,Icons/ammo,Item/Bag/TestBag
801,돌,item.801.name,item.801.desc,Ingredient,,0,0,,99,15,1,Icons/ingredient_stone_801,
802,철광석,item.802.name,item.802.desc,Ingredient,,0,0,,99,40,1,Icons/ingredient_iron_ore_802,
803,금광석,item.803.name,item.803.desc,Ingredient,,0,0,,99,120,1,Icons/ingredient_gold_ore_803,
804,석탄 원석,item.804.name,item.804.desc,Ingredient,,0,0,,50,20,1,Icons/ingredient_stone_801,
805,우라늄 원석,item.805.name,item.805.desc,Ingredient,,0,0,,30,80,1,Icons/ingredient_stone_801,
806,레드 플라즈마,item.806.name,item.806.desc,Ingredient,,0,0,,20,200,1,Icons/ingredient_stone_801,
811,원목,item.811.name,item.811.desc,Ingredient,,0,0,,99,20,1,Icons/ingredient_stone_801,
812,식물 섬유,item.812.name,item.812.desc,Ingredient,,0,0,,99,10,1,Icons/ingredient_stone_801,
813,천,item.813.name,item.813.desc,Ingredient,,0,0,,99,10,1,Icons/item_813,
814,고무,item.814.name,item.814.desc,Ingredient,,0,0,,99,15,1,Icons/item_814,
815,플라스틱,item.815.name,item.815.desc,Ingredient,,0,0,,99,10,1,Icons/item_815,
816,유리,item.816.name,item.816.desc,Ingredient,,0,0,,99,10,1,Icons/item_816,
817,가죽,item.817.name,item.817.desc,Ingredient,,0,0,,99,20,1,Icons/item_817,
818,수액,item.818.name,item.818.desc,Ingredient,,0,0,,99,10,1,Icons/item_818,
821,고철,item.821.name,item.821.desc,Ingredient,,0,0,,99,25,1,Icons/ingredient_iron_ore_802,
822,나사,item.822.name,item.822.desc,Ingredient,,0,0,,200,5,1,Icons/ingredient_iron_ore_802,
823,철판,item.823.name,item.823.desc,Ingredient,,0,0,,99,30,1,Icons/item_823,
824,철사,item.824.name,item.824.desc,Ingredient,,0,0,,99,10,1,Icons/item_824,
825,구리선,item.825.name,item.825.desc,Ingredient,,0,0,,99,20,1,Icons/item_825,
826,금속 가루,item.826.name,item.826.desc,Ingredient,,0,0,,99,15,1,Icons/item_826,
827,기어,item.827.name,item.827.desc,Ingredient,,0,0,,99,30,1,Icons/item_827,
828,스프링,item.828.name,item.828.desc,Ingredient,,0,0,,99,15,1,Icons/item_828,
829,베어링,item.829.name,item.829.desc,Ingredient,,0,0,,99,30,1,Icons/item_829,
830,파이프,item.830.name,item.830.desc,Ingredient,,0,0,,99,20,1,Icons/item_830,
831,밸브,item.831.name,item.831.desc,Ingredient,,0,0,,99,30,1,Icons/item_831,
832,모터,item.832.name,item.832.desc,Ingredient,,0,0,,99,60,1,Icons/item_832,
833,전선,item.833.name,item.833.desc,Ingredient,,0,0,,99,15,1,Icons/item_833,
834,회로기판,item.834.name,item.834.desc,Ingredient,,0,0,,99,50,1,Icons/item_834,
835,전자칩,item.835.name,item.835.desc,Ingredient,,0,0,,99,70,1,Icons/item_835,
836,센서,item.836.name,item.836.desc,Ingredient,,0,0,,99,50,1,Icons/item_836,
837,퓨즈,item.837.name,item.837.desc,Ingredient,,0,0,,99,10,1,Icons/item_837,
838,배터리,item.838.name,item.838.desc,Ingredient,,0,0,,99,40,1,Icons/item_838,
839,폐유,item.839.name,item.839.desc,Ingredient,,0,0,,99,5,1,Icons/item_839,
840,기름,item.840.name,item.840.desc,Ingredient,,0,0,,99,20,1,Icons/item_840,
841,알코올,item.841.name,item.841.desc,Ingredient,,0,0,,99,15,1,Icons/item_841,
842,접착제,item.842.name,item.842.desc,Ingredient,,0,0,,99,15,1,Icons/item_842,
843,수지,item.843.name,item.843.desc,Ingredient,,0,0,,99,15,1,Icons/item_843,
844,젤,item.844.name,item.844.desc,Ingredient,,0,0,,99,20,1,Icons/item_844,
845,빈 병,item.845.name,item.845.desc,Ingredient,,0,0,,99,5,1,Icons/item_845,
846,빈 캔,item.846.name,item.846.desc,Ingredient,,0,0,,99,5,1,Icons/item_846,
847,빈 통,item.847.name,item.847.desc,Ingredient,,0,0,,99,10,1,Icons/item_847,
848,압력 용기,item.848.name,item.848.desc,Ingredient,,0,0,,99,35,1,Icons/item_848,
851,철 주괴,item.851.name,item.851.desc,Ingredient,,0,0,,99,100,1,Icons/ingredient_iron_ore_802,
852,금 주괴,item.852.name,item.852.desc,Ingredient,,0,0,,99,300,1,Icons/ingredient_gold_ore_803,
853,정제 석탄,item.853.name,item.853.desc,Ingredient,,0,0,,50,60,1,Icons/ingredient_stone_801,
854,농축 우라늄,item.854.name,item.854.desc,Ingredient,,0,0,,30,240,1,Icons/ingredient_stone_801,
855,레드 플라즈마 주괴,item.855.name,item.855.desc,Ingredient,,0,0,,30,240,1,Icons/ingredient_stone_801,
856,필터,item.856.name,item.856.desc,Ingredient,,0,0,,99,15,1,Icons/item_856,
857,공구,item.857.name,item.857.desc,Ingredient,,0,0,,99,40,1,Icons/item_857,
858,끊어진 전선,item.858.name,item.858.desc,Ingredient,,0,0,,99,5,1,Icons/item_858,
859,망가진 회로기판,item.859.name,item.859.desc,Ingredient,,0,0,,99,15,1,Icons/item_859,
860,녹슨 기어,item.860.name,item.860.desc,Ingredient,,0,0,,99,10,1,Icons/item_860,
901,테스트용 소염기,item.901.name,item.901.desc,GunPart,,0,0,,1,200,1,Icons/Parts/MuzzleFlashHider,
903,테스트용 수직 손잡이,item.903.name,item.903.desc,GunPart,,0,0,,1,300,1,Icons/Parts/VerticalForegrip,
904,테스트용 레이저사이트,item.904.name,item.904.desc,GunPart,,0,0,,1,400,1,Icons/Parts/LaserSight,
905,테스트용 퀵드로우 탄창,item.905.name,item.905.desc,GunPart,,0,0,,1,350,1,Icons/Parts/QuickdrawMag,
906,테스트용 대용량 탄창,item.906.name,item.906.desc,GunPart,,0,0,,1,450,1,Icons/Parts/ExtendedMag,
907,테스트용 개머리판,item.907.name,item.907.desc,GunPart,,0,0,,1,400,1,Icons/Parts/Stock,
908,테스트용 스코프,item.908.name,item.908.desc,GunPart,,0,0,,1,600,1,Icons/Parts/Scope,
